#logIe_J  logsigma  logRe_J  logIe_J_err  logsigma_err  logRe_J_err  weights
  3.099     2.229      0.451     0.055      0.063       0.037      1.0        
  3.382     2.196      0.08      0.083      0.087       0.056      1.552795   
  3.232     2.129      0.153     0.094      0.066       0.064      1.6393442  
  3.157     2.23       0.239     0.085      0.098       0.057      1.1668612  
  3.125     2.228      0.384     0.082      0.055       0.055      1.0        
  3.2       2.336      0.303     0.074      0.048       0.05       1.0        
  3.554     2.287      -0.069    0.078      0.025       0.053      2.3419204  
  3.31      2.287      0.149     0.066      0.024       0.044      1.2376237  
  3.503     2.368      0.087     0.089      0.051       0.06       1.0362694  
  2.998     2.156      0.407     0.076      0.109       0.051      1.0        
  3.389     2.137      0.0040    0.081      0.052       0.054      2.5188916  
  2.897     2.141      0.26      0.09       0.08        0.061      2.3866348  
  2.521     2.2        0.657     0.074      0.041       0.05       1.0        
  3.425     2.318      0.324     0.048      0.016       0.032      1.0        
  2.947     2.18       0.408     0.088      0.085       0.059      1.0        
  3.454     2.297      0.094     0.08       0.029       0.054      1.1135857  
  3.155     2.411      0.398     0.062      0.044       0.042      1.0        
  3.049     2.192      0.322     0.094      0.055       0.064      1.0        
  3.088     2.241      0.515     0.059      0.03        0.04       1.0        
  3.45      2.386      0.181     0.085      0.059       0.058      1.0        
  2.976     2.21       0.426     0.075      0.043       0.05       1.0        
  3.35      2.392      0.221     0.089      0.044       0.06       1.0        
  2.95      2.267      0.455     0.048      0.041       0.032      1.0        
  3.105     2.226      0.29      0.067      0.071       0.045      1.0        
  3.224     2.393      0.268     0.079      0.051       0.053      1.0        
  3.247     2.365      0.188     0.075      0.041       0.051      1.2004802  
  3.001     2.087      0.31      0.079      0.118       0.053      1.2033695  
  2.91      2.375      0.562     0.063      0.033       0.042      1.0        
  2.974     2.233      0.402     0.054      0.021       0.036      1.0        
  3.02      2.402      0.632     0.048      0.018       0.032      1.0        
  3.239     2.229      0.233     0.093      0.073       0.063      1.0        
  3.172     2.123      0.161     0.095      0.099       0.064      1.8518518  
  3.237     2.302      0.252     0.08       0.046       0.054      1.0        
  3.445     2.216      0.062     0.048      0.047       0.032      1.4245014  
  2.682     2.313      0.514     0.082      0.068       0.055      1.0        
  3.345     2.082      0.097     0.094      0.107       0.064      1.6233766  
  3.211     2.391      0.19      0.06       0.045       0.041      1.3003901  
  3.436     2.188      0.132     0.091      0.112       0.061      1.0        
  3.4       2.441      0.39      0.048      0.017       0.032      1.0        
  3.191     2.252      0.249     0.093      0.061       0.063      1.0        
  2.702     2.222      0.399     0.071      0.031       0.048      1.7667845  
  3.144     2.238      0.215     0.087      0.067       0.059      1.4367816  
  3.244     2.157      0.152     0.092      0.068       0.062      1.5576323  
  3.409     2.235      0.221     0.048      0.015       0.032      1.0        
  3.29      2.159      0.185     0.073      0.058       0.049      1.0548522  
  3.514     2.35       0.143     0.077      0.114       0.052      1.0        
  2.852     2.117      0.552     0.048      0.025       0.032      1.0        
  2.958     2.242      0.447     0.08       0.078       0.054      1.0        
  3.037     2.178      0.164     0.095      0.105       0.064      2.857143   
  3.486     2.237      -0.0070   0.066      0.034       0.045      1.9920319  
  3.172     2.138      0.204     0.09       0.069       0.061      1.396648   
  2.919     2.294      0.447     0.087      0.052       0.059      1.0        
  2.645     2.136      0.54      0.088      0.106       0.06       1.0        
  2.712     2.183      0.471     0.048      0.067       0.032      1.0905125  
  3.033     2.159      0.34      0.08       0.061       0.054      1.0        
  3.221     2.327      0.27      0.048      0.013       0.032      1.0        
  3.364     2.342      0.205     0.089      0.045       0.06       1.0        
  3.572     2.254      0.055     0.048      0.016       0.032      1.010101   
  3.202     2.25       0.26      0.091      0.062       0.061      1.0        
  3.068     2.172      0.181     0.05       0.035       0.034      2.2321427  
  2.721     2.145      0.64      0.064      0.075       0.043      1.0        
  3.267     2.31       0.221     0.088      0.041       0.059      1.0        
  2.976     2.144      0.499     0.078      0.08        0.052      1.0        
  3.027     2.165      0.244     0.091      0.07        0.062      1.7667845  
  2.481     2.17       0.707     0.082      0.09        0.055      1.0        
  2.71      2.101      0.684     0.071      0.068       0.048      1.0        
  3.48      2.233      0.131     0.075      0.048       0.05       1.0        
  2.945     2.258      0.413     0.087      0.045       0.059      1.0        
  3.179     2.344      0.312     0.076      0.043       0.052      1.0        
  2.901     2.496      0.844     0.048      0.028       0.032      1.0        
  3.408     2.13       0.021     0.07       0.055       0.047      2.1691973  
  3.438     2.461      0.247     0.058      0.025       0.039      1.0        
  3.069     2.259      0.279     0.071      0.025       0.048      1.1547344  
  3.158     2.238      0.309     0.072      0.036       0.048      1.0        
  3.098     2.151      0.286     0.048      0.07        0.032      1.0193679  
  3.341     2.326      0.217     0.088      0.101       0.059      1.0        
  2.667     2.063      0.382     0.048      0.06        0.033      2.2727273  
  3.242     2.128      0.079     0.063      0.052       0.043      2.5062656  
  3.333     2.338      0.136     0.08       0.062       0.054      1.2674272  
  3.11      2.374      0.52      0.048      0.024       0.032      1.0        
  3.011     2.464      0.522     0.071      0.061       0.048      1.0        
  2.87      2.427      0.734     0.054      0.036       0.037      1.0        
  2.555     2.069      0.455     0.048      0.042       0.032      2.016129   
  3.525     2.268      0.124     0.088      0.038       0.059      1.0        
  2.94      2.355      0.492     0.08       0.052       0.054      1.0        
